IdCarrera,Carrera
11,MEDICINA HUMANA
12,OBSTETRICIA
13,ENFERMERÍA
141,TEC. MED. LAB. CLÍNICO Y ANATOMÍA PATOLÓGICA
142,TEC. MED. TERAPIA FÍSICA Y REHABILITACIÓN
143,TEC. MED. RADIOLOGÍA
144,TEC. MED. TERAPIA OCUPACIONAL
15,NUTRICION
22,DERECHO
23,CIENCIA POLÍTICA
31,LITERATURA
310,"LENGUAS, TRADUCCIÓN E INTERPRETACIÓN"
33,FILOSOFÍA
34,LINGUÍSTICA
35,COMUNICACIÓN SOCIAL
36,ARTE
37,BIBLIOTECOLOGÍA Y CIENCIAS DE LA INFORMACIÓN
38,DANZA
39,CONSERVACIÓN Y RESTAURACIÓN
41,FARMACIA Y BIOQUÍMICA
42,CIENCIAS DE LOS ALIMENTOS
43,TOXICOLOGÍA
51,ODONTOLOGÍA
611,EDUCACIÓN INICIAL
612,EDUCACIÓN PRIMARIA
613,EDUCACIÓN SECUNDARIA
62,EDUCACIÓN FÍSICA
71,QUÍMICA
72,INGENIERÍA QUÍMICA
73,INGENIERÍA AGROINDUSTRIAL
81,MEDICINA VETERINARIA
91,ADMINISTRACIÓN - LIMA
911,ADMINISTRACIÓN - S.J.L
912,ADMINISTRACIÓN - HUARAL
92,ADMINISTRACIÓN DE TURISMO - LIMA
921,ADMINISTRACIÓN DE TURISMO - S.J.L
922,ADMINISTRACIÓN DE TURISMO - HUARAL
93,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - LIMA
931,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - S.J.L
932,ADMINISTRACIÓN DE NEGOCIOS INTERNACIONALES - HUARAL
94,ADMINISTRACIÓN DE LA GASTRONOMÍA
95,ADMINISTRACIÓN MARÍTIMA Y PORTUARIA
96,MARKETING
101,CIENCIAS BIOLÓGICAS
102,GENÉTICA Y BIOTECNOLOGÍA
103,MICROBIOLOGÍA Y PARASITOLOGÍA
111,CONTABILIDAD - LIMA
1111,CONTABILIDAD - S.J.L
1112,CONTABILIDAD - HUARAL
112,GESTIÓN TRIBUTARIA - LIMA
1121,GESTIÓN TRIBUTARIA - S.J.L
113,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - LIMA
1131,AUDITORÍA EMPRESARIAL Y DEL SECTOR PÚBLICO - S.J.L
114,PRESUPUESTO Y FINANZAS PÚBLICAS - LIMA
1141,PRESUPUESTO Y FINANZAS PÚBLICAS - S.J.L
121,ECONOMÍA
122,ECONOMÍA PÚBLICA
123,ECONOMÍA INTERNACIONAL
131,FÍSICA
132,INGENIERÍA MECÁNICA DE FLUIDOS
141,MATEMÁTICA
142,ESTADÍSTICA
144,INVESTIGACIÓN OPERATIVA
145,COMPUTACIÓN CIENTÍFICA
151,HISTORIA
152,SOCIOLOGÍA
153,ANTROPOLOGÍA
154,ARQUEOLOGÍA
155,TRABAJO SOCIAL
157,GEOGRAFÍA
162,INGENIERÍA GEOLÓGICA
163,INGENIERÍA GEOGRÁFICA
165,INGENIERÍA DE MINAS
166,INGENIERÍA METALÚRGICA
167,INGENIERÍA CIVIL
168,INGENIERÍA AMBIENTAL
169,ARQUITECTURA Y URBANISMO
171,INGENIERÍA INDUSTRIAL
172,INGENIERÍA TEXTIL Y CONFECCIONES
173,INGENIERÍA DE SEGURIDAD Y SALUD EN EL TRABAJO
181,PSICOLOGÍA
1814,PSICOLOGÍA - CHILCA
182,PSICOLOGÍA ORGANIZACIONAL Y DE LA GESTIÓN HUMANA
191,INGENIERÍA ELECTRÓNICA
192,INGENIERÍA ELÉCTRICA
1924,INGENIERÍA ELÉCTRICA - CHILCA
193,INGENIERÍA DE TELECOMUNICACIONES
194,INGENIERÍA BIOMÉDICA
201,INGENIERÍA DE SISTEMAS
202,INGENIERÍA DE SOFTWARE
203,CIENCIA DE LA COMPUTACIÓN
1815,PSICOLOGÍA - VILLA RICA
1816,PSICOLOGÍA - HUARMEY
225,DERECHO - VILLA RICA
623,EDUCACIÓN FÍSICA - OYÓN
74,INGENIERIA DEL AGUA Y TECNOLOGIAS DE TRATAMIENTO
914,ADMINISTRACIÓN - CHILCA
915,ADMINISTRACIÓN - VILLA RICA
957,ADMINISTRACION MARITIMA Y PORTUARIA - CHANCAY
1113,CONTABILIDAD - OYÓN
1114,CONTABILIDAD - CHILCA
1115,CONTABILIDAD - VILLA RICA
115,CRIMINALÍSTICA FINANCIERA FORENSE
1414,MATEMÁTICA - CHILCA
1424,ESTADÍSTICA - CHILCA
1444,INVESTIGACIÓN OPERATIVA - CHILCA
1454,COMPUTACIÓN CIENTÍFICA - CHILCA
1623,INGENIERÍA GEOLÓGICA - OYÓN
1653,INGENIERÍA DE MINAS - OYÓN
195,INGENIERIA NUCLEAR
196,INGENIERIA MECATRONICA
